number,hiragana,romaji,kanji,meaning,kanjiandhiragana
396,いちぶ,ichibu,一部,1.  one copy  e.g. of a document; 2.  a part;partly;some,一部…いちぶ
397,いちぶぶん,ichibubun,一部分,a part,一部分…いちぶぶん
398,いちべつ,ichibetsu,一別,parting,一別…いちべつ
399,いちめん,ichimen,一面,one side;one phase;front page;the other hand;the whole surface,一面…いちめん
400,いちもく,ichimoku,一目,a glance;a look;a glimpse,一目…いちもく
401,いちよう,ichiyou,一様,uniformity;evenness;similarity;equality;impartiality,一様…いちよう
402,いちりつ,ichiritsu,一律,evenness;uniformity;monotony;equality,一律…いちりつ
403,いちりゅう,ichiryuu,一流,first class;top grade;school (of art);foremost;top-notch;unique,一流…いちりゅう
404,いちれん,ichiren,一連,a series;a chain;a ream (of paper),一連…いちれん
405,いっか,ika,一家,a house;a home;a family;a household;one's family;one's folks;a style,一家…いっか
406,いっかつ,ikkatsu,一括,all together;batch;one lump;one bundle;summing up,一括…いっかつ
407,いっき,iki,一気,drink!(said repeatedly as a party cheer),一気…いっき
408,いっきょに,ikyoni,一挙に,at a stroke;with a single swoop,一挙に…いっきょに
409,いっさい,issai,一切,all;everything;without exception;the whole;entirely;absolutely,一切…いっさい
410,いっさくじつ,issakujitsu,一昨日,day before yesterday,一昨日…いっさくじつ
411,いっさくねん,issakunen,一昨年,year before last,一昨年…いっさくねん
412,いっしゅ,ishu,一種,a species;a kind;a variety,一種…いっしゅ
413,いっしゅん,ishun,一瞬,a moment;an instant,一瞬…いっしゅん
414,いっしょ,isho,一緒,together;meeting;company,一緒…いっしょ
415,いっしょう,ishou,一生,whole life;a lifetime;all through life;one existence;a generation;an age;the whole world;the era,一生…いっしょう
416,いっしょうけんめい,ishouukenmei,一生懸命,very hard;with utmost effort;with all one's might,一生懸命…いっしょうけんめい
417,いっしん,isshin,一心,one mind;wholeheartedness;the whole heart,一心…いっしん
418,いっせい,issei,一斉,simultaneous;all at once,一斉…いっせい
419,いっそ,iso,,rather;sooner;might as well,…いっそ
420,いっそう,issou,一層,much more;still more;all the more,一層…いっそう
421,いったい,ittai,一帯,a region;a zone;the whole place,一帯…いったい
422,いったい,ittai,一体,one object;one body;what on earth?;really?;generally,一体…いったい
423,いったん,ittan,一旦,once;for a moment;one morning;temporarily,一旦…いったん
424,いっち,ichi,一致,coincidence;agreement;union;match;conformity;consistency;co-operation,一致…いっち
425,いっぱい,ippai,一敗,one defeat,一敗…いっぱい
426,いっぱん,ippan,一般,general;liberal;universal;ordinary;average,一般…いっぱん
427,いっぺん,ippen,一変,complete change;about-face,一変…いっぺん
428,いっぽう,ippou,一方,on the other hand;one side;one way;a quarter;one direction;one party;the other party;meanwhile;only;simple;in turn,一方…いっぽう
429,いつ,itsu,何時,when;how soon,何時…いつ
430,いつか,itsuka,五日,five days;the fifth day (of the month),五日…いつか
431,いつか,itsuka,何時か,sometime;someday;one day;some time or other;the other day;in due course;in time,何時か…いつか
432,いつつ,itsutsu,五つ,five,五つ…いつつ
433,いつでも,itsudemo,何時でも,(at) any time;always;at all times;never (neg);whenever,何時でも…いつでも
434,いつのまにか,itsunomanika,何時の間にか,before one knows;unnoticed;unawares,何時の間にか…いつのまにか
435,いつまでも,itsumademo,何時までも,forever;for good;eternally;as long as one likes;indefinitely,何時までも…いつまでも
436,いつも,itsumo,何時も,always;usually;every time;never (with neg. verb),何時も…いつも
437,いてん,iten,移転,moving;transfer;demise,移転…いてん
438,いと,ito,意図,intention;aim;design,意図…いと
439,いと,ito,糸,thread;yarn;string,糸…いと
440,いとこ,itoko,従兄弟,cousin,従兄弟…いとこ
441,いとこ,itoko,従姉妹,cousin (female),従姉妹…いとこ
442,いとなむ,itonamu,営む,to carry on (e.g. in ceremony);to run a business,営む…いとなむ
443,いとま,itoma,暇,free time;leisure;leave;spare time;farewell,暇…いとま
444,いど,ido,井戸,water well,井戸…いど
445,いど,ido,緯度,latitude (nav.),緯度…いど
446,いどう,idou,異動,a change,異動…いどう
447,いどう,idou,移動,removal;migration;movement,移動…いどう
448,いどむ,idomu,挑む,to challenge;to contend for;to make love to,挑む…いどむ
449,いない,inai,以内,within;inside of;less than,以内…いない
450,いなか,inaka,田舎,rural;not particularly urban;countryside;suburb,田舎…いなか
451,いなびかり,inabikari,稲光,(flash of) lightning,稲光…いなびかり
452,いにしえ,inishie,古,antiquity;ancient times,古…いにしえ
453,いぬ,inu,犬,dog,犬…いぬ
454,いね,ine,稲,rice-plant,稲…いね
455,いねむり,inemuri,居眠り,dozing;nodding off,居眠り…いねむり
456,いのち,inochi,命,(mortal) life,命…いのち
457,いのり,inori,祈り,prayer;supplication,祈り…いのり
458,いのる,inoru,祈る,to pray;to wish,祈る…いのる
459,いはん,ihan,違反,violation (of law);transgression;infringement;breach,違反…いはん
460,いばる,ibaru,威張る,to be proud;to swagger,威張る…いばる
461,いびき,ibiki,鼾,snoring,鼾…いびき
462,いふく,ifuku,衣服,clothes,衣服…いふく
463,いま,ima,今,now;the present time;just now;soon;immediately;(one) more,今…いま
464,いま,ima,居間,living room (western style),居間…いま
465,いま,ima,今,now;the present time;just now;soon;immediately;(one) more,今…いま
466,いまさら,imasara,今更,now;at this late hour,今更…いまさら
467,いまだ,imada,未だ,as yet;hitherto;not yet (neg),未だ…いまだ
468,いまに,imani,今に,before long;even now,今に…いまに
469,いまにも,imanimo,今にも,at any time;soon,今にも…いまにも
470,いみ,imi,意味,meaning;significance,意味…いみ
471,いみん,imin,移民,emigration;immigration;emigrant;immigrant,移民…いみん
472,いもうと,imouto,妹,younger sister,妹…いもうと
473,いや,iya,嫌,disagreeable;detestable;unpleasant;reluctant,嫌…いや
474,いやいや,iyaiya,厭々,unwillingly;grudgingly;shaking head in refusal (to children),厭々…いやいや
475,いやがる,iyagaru,嫌がる,to hate;to dislike,嫌がる…いやがる
476,いやしい,iyashii,卑しい,greedy;vulgar;shabby;humble;base;mean;vile,卑しい…いやしい
477,いやに,iyani,,awfully;terribly,…いやに
478,いやらしい,iyarashii,厭やらしい,detestable;disagreeable,厭やらしい…いやらしい
479,いよいよ,iyoiyo,愈々,more and more;all the more;increasingly;at last;beyond doubt,愈々…いよいよ
480,いよく,iyoku,意欲,will;desire;ambition,意欲…いよく
481,いらい,irai,以来,since;henceforth,以来…いらい
482,いらい,irai,依頼,request;commission;dispatch;dependence;trust,依頼…いらい
483,いらいら,iraira,苛々,getting nervous;irritation,苛々…いらいら
484,いらっしゃる,irasharu,,to be;to come;to go,…いらっしゃる
485,いりくち,irikuchi,入口,entrance;gate;approach;mouth,入口…いりくち
486,いりょう,iryou,衣料,clothing,衣料…いりょう
487,いりょう,iryou,医療,medical care;medical treatment,医療…いりょう
488,いりょく,iryoku,威力,power;might;authority;influence,威力…いりょく
489,いる,iru,居る,to be (animate);to exist,居る…いる
490,いる,iru,要る,to need,要る…いる
491,いる,iru,居る,to be (animate);to exist,居る…いる
492,いる,iru,入る,to get in;to go in;to come in;to flow into;to set;to set in,入る…いる
493,いる,iru,煎る,to parch;to fry;to fire;to broil;to roast;to boil down (in oil),煎る…いる
494,いる,iru,居る,to be (animate);to exist,居る…いる
495,いるい,irui,衣類,clothes;clothing;garments,衣類…いるい
496,いれもの,iremono,入れ物,container;case;receptacle,入れ物…いれもの
497,いれる,ireru,入れる,to put in;to take in;to bring in;to let in;to admit;to introduce;to commit (to prison);to usher in;to insert;to set (jewels);to employ;to listen to;to tolerate;to comprehend;to include;to pay (interest);to cast (votes),入れる…いれる
498,いろ,iro,色,colour,色…いろ
499,いろ,iro,色,colour,色…いろ
500,いろいろ,iroiro,色々,various,色々…いろいろ
501,いろん,iron,異論,different opinion;objection,異論…いろん
502,いわ,iwa,岩,rock;crag,岩…いわ
503,いわい,iwai,祝い,celebration;festival,祝い…いわい
504,いわう,iwau,祝う,to congratulate;to celebrate,祝う…いわう
505,いわば,iwaba,言わば,so to speak,言わば…いわば
506,いわゆる,iwayuru,所謂,the so-called;so to speak,所謂…いわゆる
507,いん,in,印,seal;stamp;mark;print,印…いん
508,いん,in,員,member,員…いん
509,いんかん,inkan,印鑑,stamp;seal,印鑑…いんかん
510,いんき,inki,陰気,gloom;melancholy,陰気…いんき
511,いんきょ,inkyo,隠居,retirement;retired person,隠居…いんきょ
512,いんさつ,insatsu,印刷,printing,印刷…いんさつ
513,いんしょう,inshou,印象,impression,印象…いんしょう
514,いんたい,intai,引退,retire,引退…いんたい
515,いんよう,inyou,引用,quotation;citation,引用…いんよう
